pais;codigo;continente;renda;pib_dolares_precos_correntes;populacao;expectativa_de_vida_ao_nascer_mulheres;expectativa_de_vida_ao_nascer_homens;taxa_de_fertilidade;nascimentos_por_1000_mulheres_entre_15_e_19_anos;dias_necessarios_para_abrir_negocio;proporcao_de_mulheres_no_parlamento_nacional
Bulgaria;BGR;Europa;Renda Média-Alta;69889347433;6934015;77.5;69.9;1.56;38.2598;23;26.66666667
Bahrain;BHR;Asia;Renda Alta;34723357447;1701583;78.557;76.559;1.942;12.981;8.3;15
Bermuda;BMU;America;Renda Alta;6881662000;63893;86;78.3;1.3;;;
Bosnia and Herzegovina;BIH;Europa;Renda Média-Alta;19955120005;3280815;79.991;75.048;1.243;8.163;80;26.19047619
Belarus;BLR;Europa;Renda Média-Alta;61489588895;9379952;79.4;69.3;1.382;12.2408;8.5;40
Barbados;BRB;America;Renda Alta;4689534962;287371;80.579;77.958;1.628;26.2906;16;20
Canada;CAN;America;Renda Alta;1.65E+12;38037204;83.9;79.7;1.4;7.3298;1.5;28.99408284
Chile;CHL;America;Renda Alta;2.53E+11;19116209;82.522;77.99;1.611;38.3112;4;22.58064516
Curacao;CUW;America;Renda Alta;2496174736;154947;;;1.6;26.9586;;
Cayman Islands;CYM;America;Renda Alta;5608989196;65720;;;;;;
Brunei Darussalam;BRN;Asia;Renda Alta;12005825770;437483;77.256;74.859;1.796;8.5908;5.5;9.090909091
Bhutan;BTN;Asia;Renda Média-Baixa;2315436303;771612;72.524;71.673;1.931;16.317;12;14.89361702
Botswana;BWA;Africa;Renda Média-Alta;14930072799;2351625;72.604;66.665;2.796;43.952;48;10.76923077
Central African Republic;CAF;Africa;Renda Baixa;2326720921;4829764;55.932;51.454;4.568;122.7428;22;8.571428571
St. Kitts and Nevis;KNA;America;Renda Alta;980905888.9;53192;;;;;18.5;25
Switzerland;CHE;Europa;Renda Alta;7.52E+11;8636561;85.2;81.1;1.46;2.4054;10;41.5
Channel Islands;CHI;Europa;Renda Alta;;173859;85.031;81.367;1.512;6.1878;;
St. Martin (French part);MAF;America;Renda Alta;;38659;83.4;77;1.81;;;
China;CHN;Asia;Renda Média-Alta;1.47E+13;1411100000;79.411;74.953;1.7;7.659;8.5;24.94117647
Cote d'Ivoire;CIV;Africa;Renda Média-Baixa;61348579465;26378275;59.455;56.897;4.536;113.2212;6;11.37254902
Cameroon;CMR;Africa;Renda Média-Baixa;40804449726;26545864;60.904;58.354;4.443;98.8814;13.5;33.88888889
Democratic Republic of the Congo;COD;Africa;Renda Baixa;51775830726;86790568;62.233;59.147;5.819;120.9912;7;10
Congo;COG;Africa;Renda Média-Baixa;12750338736;5380504;66.023;63.082;4.374;109.6422;49.5;11.25827815
Panama;PAN;America;Renda Alta;53977037000;4314768;81.901;75.616;2.415;79.4598;6;22.53521127
Comoros;COM;Africa;Renda Média-Baixa;1223876065;869595;66.341;62.775;4.073;61.4798;16;16.66666667
Cabo Verde;CPV;Africa;Renda Média-Baixa;1703698677;555988;76.384;69.721;2.213;70.5658;9;25
Sint Maarten (Dutch part);SXM;America;Renda Alta;;42310;;;;;;
Turks and Caicos Islands;TCA;America;Renda Alta;924583000;38718;;;;;;
Trinidad and Tobago;TTO;America;Renda Alta;21392536138;1399491;76.352;70.987;1.699;27.8214;10.5;26.19047619
Uruguay;URY;America;Renda Alta;53560755047;3473727;81.595;74.29;1.952;57.2618;6.5;21.21212121
Cyprus;CYP;Europa;Renda Alta;24692095945;1207361;83.151;79.103;1.313;4.2118;6;19.64285714
Czech Republic;CZE;Europa;Renda Alta;2.45E+11;10697858;81.3;75.3;1.71;11.8502;24.5;22.5
Germany;DEU;Europa;Renda Alta;3.85E+12;83160871;83.4;78.6;1.53;7.3804;8;31.17066291
Djibouti;DJI;Africa;Renda Média-Baixa;3181071154;988002;69.766;65.467;2.627;17.6482;14;26.15384615
United States;USA;America;Renda Alta;2.09E+13;331501080;80.2;74.5;1.6375;15.9486;4.2;27.46478873
Denmark;DNK;Europa;Renda Alta;3.56E+11;5831404;83.6;79.6;1.67;4.261;3.5;39.66480447
British Virgin Islands;VGB;America;Renda Alta;;30237;;;;;;
Algeria;DZA;Africa;Renda Média-Baixa;1.45E+11;43851043;78.321;75.857;2.942;9.3594;18;25.75757576
Virgin Islands (U.S.);VIR;America;Renda Alta;4204000000;106290;83.2;76.6;2.03;25.1706;;
Egypt;EGY;Africa;Renda Média-Baixa;3.03E+11;100388076;74.35;69.742;3.28;52.353;11.5;14.93288591
Eritrea;ERI;Africa;Renda Baixa;;;68.924;64.496;3.933;47.0024;84;
Spain;ESP;Europa;Renda Alta;1.28E+12;47363419;85.1;79.7;1.23;7.0212;12.5;44
Estonia;EST;Europa;Renda Alta;30650285472;1329479;82.7;74.2;1.58;5.9004;3.5;28.71287129
