ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4307708;ESTEIO;Total;68.2;43.7;69.2;51.7;63.3;14.9;54.6
2021;4307807;ESTRELA;Total;43;75.5;76.4;75.8;62.8;59.3;68.1
2021;4307815;ESTRELA VELHA;Total;100;81.4;61.7;69.9;62.5;75;0
2021;4307831;EUGÊNIO DE CASTRO;Total;84.6;58.7;69.7;64.6;57.1;0;0
2021;4307864;FAGUNDES VARELA;Total;39.1;95.1;88.9;93.8;64.9;0;0
2021;4307906;FARROUPILHA;Total;48;82.9;70.6;77.2;72.3;10.5;42.9
2021;4308003;FAXINAL DO SOTURNO;Total;96;100;66.7;81.7;100;70;88.9
2021;4308052;FAXINALZINHO;Total;34.6;85.2;66.3;75.8;67.5;66.7;53.3
2021;4308078;FAZENDA VILANOVA;Total;33.3;87.5;68.5;79.6;57.6;0;0
2021;4308102;FELIZ;Total;37.3;80.2;74.7;78.2;64.2;13.3;0
2021;4308201;FLORES DA CUNHA;Total;34.4;74.2;73.6;73.9;78;16.6;0
2021;4308250;FLORIANO PEIXOTO;Total;73.9;0;66.7;66.7;76.9;0;0
2021;4308300;FONTOURA XAVIER;Total;50;56.8;41.9;49.4;57;66.7;48.9
2021;4308409;FORMIGUEIRO;Total;73.3;78.7;78.7;78.7;90.1;0;0
2021;4308433;FORQUETINHA;Total;52;66.2;70;67.9;45;0;0
2021;4308458;FORTALEZA DOS VALOS;Total;66.7;80.3;53.3;65.2;58.7;0;0
2021;4308508;FREDERICO WESTPHALEN;Total;58.1;82.9;62.3;72.7;79.1;25.3;55.6
2021;4308607;GARIBALDI;Total;58.3;87.4;65.7;77;73.1;37.3;57.1
2021;4308656;GARRUCHOS;Total;33.3;57.6;53.4;55.4;54.5;0;0
2021;4308706;GAURAMA;Total;57.1;76.2;58;60.4;63.4;11.1;0
2021;4308805;GENERAL CÂMARA;Total;50;75.4;41.8;50.8;59;8.7;0
2021;4308854;GENTIL;Total;43.5;91.7;50.9;65.8;73.2;0;0
2021;4308904;GETÚLIO VARGAS;Total;65.9;83.7;63.3;74.8;66;7.3;52.9
2021;4309001;GIRUÁ;Total;55.2;75.6;57.2;66.2;78.4;19.5;0
2021;4309050;GLORINHA;Total;92;80.7;64.5;71.8;61.3;70;0
2021;4309100;GRAMADO;Total;83.6;78.6;78.8;78.7;59.5;65.9;39.1
2021;4309126;GRAMADO DOS LOUREIROS;Total;85.7;39.2;54.2;48;71.4;50;53.5
2021;4309159;GRAMADO XAVIER;Total;100;67.8;34.8;41.2;53.4;0;0
2021;4309209;GRAVATAÍ;Total;46.8;62;64.8;63.2;68.8;46.5;45.2
